# Export File Created with QBlade CE v2.0.9.7b_beta windows on 16.08.2026 at 11:34:35
Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13;Blade_NACA_0013_Circ120_Sol0.25 Simulation 3.13
Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm];Azimuthal Angle Theta [deg];Rotor Torque [Nm]
1.0750000e+02;3.0392613e-02;1.0750000e+02;3.9634522e-02;1.0750000e+02;5.1360659e-02;1.0750000e+02;6.5960005e-02;1.0750000e+02;7.9738975e-02;1.0750000e+02;9.5011391e-02;1.0750000e+02;1.1163738e-01;1.0750000e+02;1.3231380e-01;1.0750000e+02;1.5292856e-01;1.0750000e+02;1.6249305e-01;1.0750000e+02;1.6420791e-01;1.0750000e+02;1.7373262e-01;1.0750000e+02;2.1378101e-01;1.0750000e+02;2.3911174e-01;1.0750000e+02;2.6474053e-01;1.0750000e+02;2.7168921e-01;1.0750000e+02;2.6427537e-01;1.0750000e+02;2.5042123e-01
1.1250000e+02;3.1267360e-02;1.1250000e+02;4.1780382e-02;1.1250000e+02;5.4327898e-02;1.1250000e+02;6.6458635e-02;1.1250000e+02;8.1212677e-02;1.1250000e+02;9.6259922e-02;1.1250000e+02;1.1759627e-01;1.1250000e+02;1.3978541e-01;1.1250000e+02;1.5384877e-01;1.1250000e+02;1.6257924e-01;1.1250000e+02;1.6270308e-01;1.1250000e+02;1.7395604e-01;1.1250000e+02;2.1492343e-01;1.1250000e+02;2.3978887e-01;1.1250000e+02;2.6573220e-01;1.1250000e+02;2.7238142e-01;1.1250000e+02;2.6490438e-01;1.1250000e+02;2.5103626e-01
1.1750000e+02;3.1389073e-02;1.1750000e+02;4.1364782e-02;1.1750000e+02;5.3108182e-02;1.1750000e+02;6.8225525e-02;1.1750000e+02;8.3722211e-02;1.1750000e+02;1.0308643e-01;1.1750000e+02;1.2436929e-01;1.1750000e+02;1.4160150e-01;1.1750000e+02;1.5666616e-01;1.1750000e+02;1.6363028e-01;1.1750000e+02;1.6392913e-01;1.1750000e+02;1.7577437e-01;1.1750000e+02;2.1645807e-01;1.1750000e+02;2.4105965e-01;1.1750000e+02;2.6654923e-01;1.1750000e+02;2.7302212e-01;1.1750000e+02;2.6545721e-01;1.1750000e+02;2.5163004e-01
1.2250000e+02;2.7882386e-02;1.2250000e+02;3.8439337e-02;1.2250000e+02;5.1231716e-02;1.2250000e+02;6.7822561e-02;1.2250000e+02;8.8553056e-02;1.2250000e+02;1.0874103e-01;1.2250000e+02;1.2724328e-01;1.2250000e+02;1.4375699e-01;1.2250000e+02;1.5714048e-01;1.2250000e+02;1.6553673e-01;1.2250000e+02;1.6624859e-01;1.2250000e+02;1.7953274e-01;1.2250000e+02;2.1874988e-01;1.2250000e+02;2.4252367e-01;1.2250000e+02;2.6730555e-01;1.2250000e+02;2.7343413e-01;1.2250000e+02;2.6574725e-01;1.2250000e+02;2.5189823e-01
1.2750000e+02;2.7208984e-02;1.2750000e+02;3.6462858e-02;1.2750000e+02;5.0795745e-02;1.2750000e+02;6.7633837e-02;1.2750000e+02;8.6507954e-02;1.2750000e+02;1.0710894e-01;1.2750000e+02;1.2576738e-01;1.2750000e+02;1.4461505e-01;1.2750000e+02;1.5914141e-01;1.2750000e+02;1.6732383e-01;1.2750000e+02;1.6999251e-01;1.2750000e+02;1.8298005e-01;1.2750000e+02;2.2209717e-01;1.2750000e+02;2.4362835e-01;1.2750000e+02;2.6783839e-01;1.2750000e+02;2.7341315e-01;1.2750000e+02;2.6557621e-01;1.2750000e+02;2.5167167e-01
1.3250000e+02;2.8501753e-02;1.3250000e+02;3.7579462e-02;1.3250000e+02;4.9905930e-02;1.3250000e+02;6.5296367e-02;1.3250000e+02;8.1829011e-02;1.3250000e+02;9.9247724e-02;1.3250000e+02;1.2080759e-01;1.3250000e+02;1.4184660e-01;1.3250000e+02;1.5956222e-01;1.3250000e+02;1.6924217e-01;1.3250000e+02;1.7256723e-01;1.3250000e+02;1.8753490e-01;1.3250000e+02;2.2451754e-01;1.3250000e+02;2.4593298e-01;1.3250000e+02;2.6785117e-01;1.3250000e+02;2.7290639e-01;1.3250000e+02;2.6480633e-01;1.3250000e+02;2.5086594e-01
1.3750000e+02;2.9728604e-02;1.3750000e+02;3.8608484e-02;1.3750000e+02;4.9612865e-02;1.3750000e+02;6.1450776e-02;1.3750000e+02;7.6171376e-02;1.3750000e+02;9.5351592e-02;1.3750000e+02;1.1522840e-01;1.3750000e+02;1.3439900e-01;1.3750000e+02;1.5705265e-01;1.3750000e+02;1.7056876e-01;1.3750000e+02;1.7679688e-01;1.3750000e+02;1.9091830e-01;1.3750000e+02;2.2969979e-01;1.3750000e+02;2.4811020e-01;1.3750000e+02;2.6838839e-01;1.3750000e+02;2.7244070e-01;1.3750000e+02;2.6399148e-01;1.3750000e+02;2.4988428e-01
1.4250000e+02;2.8982630e-02;1.4250000e+02;3.7234541e-02;1.4250000e+02;4.7908425e-02;1.4250000e+02;6.0710698e-02;1.4250000e+02;7.6054841e-02;1.4250000e+02;9.1988221e-02;1.4250000e+02;1.1021496e-01;1.4250000e+02;1.3111648e-01;1.4250000e+02;1.4976920e-01;1.4250000e+02;1.6830647e-01;1.4250000e+02;1.7878641e-01;1.4250000e+02;1.9513568e-01;1.4250000e+02;2.3319536e-01;1.4250000e+02;2.5097507e-01;1.4250000e+02;2.6899698e-01;1.4250000e+02;2.7204150e-01;1.4250000e+02;2.6318619e-01;1.4250000e+02;2.4895443e-01
1.4750000e+02;2.6539996e-02;1.4750000e+02;3.6189146e-02;1.4750000e+02;4.8356056e-02;1.4750000e+02;6.1551139e-02;1.4750000e+02;7.5500235e-02;1.4750000e+02;9.1630362e-02;1.4750000e+02;1.0908435e-01;1.4750000e+02;1.2693614e-01;1.4750000e+02;1.4733055e-01;1.4750000e+02;1.6366130e-01;1.4750000e+02;1.7823118e-01;1.4750000e+02;1.9858339e-01;1.4750000e+02;2.3695573e-01;1.4750000e+02;2.5498366e-01;1.4750000e+02;2.7065301e-01;1.4750000e+02;2.7207026e-01;1.4750000e+02;2.6273710e-01;1.4750000e+02;2.4826530e-01
1.5250000e+02;2.6273506e-02;1.5250000e+02;3.5510227e-02;1.5250000e+02;4.7806904e-02;1.5250000e+02;6.1335288e-02;1.5250000e+02;7.6692015e-02;1.5250000e+02;9.3405098e-02;1.5250000e+02;1.1042086e-01;1.5250000e+02;1.2701902e-01;1.5250000e+02;1.4482020e-01;1.5250000e+02;1.6237481e-01;1.5250000e+02;1.7515679e-01;1.5250000e+02;1.9926754e-01;1.5250000e+02;2.4030170e-01;1.5250000e+02;2.5924826e-01;1.5250000e+02;2.7297512e-01;1.5250000e+02;2.7246112e-01;1.5250000e+02;2.6259765e-01;1.5250000e+02;2.4791059e-01
